Weight,1,2,3,4,5,6,7,8,9,10,11,12,13
0,468,484,509,520,752,630,791,1946,2013,2098,2084,915,1043
0.5,483,638,672,699,1052,785,916,2510,2590,2303,2534,1177,1592
1,629,789,839,862,1316,958,1058,3071,2993,3040,3142,1360,1938
1.5,723,909,1290,994,1513,1131,1321,3495,3397,3450,3630,1730,2274
2,818,1030,1462,1125,1709,1305,1478,3918,3802,3860,4118,1935,2614
2.5,1095,1151,1636,1256,1906,1478,1634,4335,4206,4270,4605,2141,2962
3,1183,1656,2223,1817,2068,2180,2022,4758,4583,4645,5063,2833,3246
3.5,1270,1778,2401,1960,2229,2307,2186,5181,4961,5020,5520,3067,3527
4,1357,1900,2579,2102,2391,2435,2350,5604,5338,5395,5978,3300,3793
4.5,1445,2021,2757,2245,2552,2563,2515,6027,5715,5769,6436,3533,4068
5,1532,2143,2935,2387,2714,2690,2679,6449,6093,6144,6893,3766,4338
5.5,2025,2766,3673,3113,4246,3373,3149,6843,6409,6466,7278,3962,5203
6,2091,2854,3824,3241,4422,3518,3298,7236,6725,6788,7664,4157,5504
6.5,2158,2941,3975,3370,4597,3663,3447,7630,7041,7111,8049,4353,5820
7,2225,3029,4126,3499,4773,3808,3596,8023,7357,7433,8434,4548,6118
7.5,2292,3116,4277,3627,4948,3953,3745,8417,7673,7755,8819,5022,6434
8,2359,3204,4428,3756,5124,4098,3894,8810,7989,8077,9204,5229,6735
8.5,2426,3291,4579,3884,5299,4243,4043,9204,8305,8399,9589,5436,7050
9,2493,3379,4730,4013,5475,4388,4192,9597,8621,8721,9975,5643,7349
9.5,2560,3466,4881,4142,5650,4534,4341,9990,8937,9043,10360,5850,7656
10,2627,3554,5032,4270,5826,4679,4490,10384,9253,9366,10745,6056,7945
10.5,3528,4337,6008,5240,6316,5288,4923,10657,10387,10839,11020,6751,8231
11,3629,4410,6146,5356,6454,5539,5036,10930,10679,11143,11296,6764,8501
11.5,3730,4482,6284,5472,6591,5791,5149,11204,10972,11446,11572,6949,8785
12,3831,4555,6422,5588,6728,6043,5262,11477,11265,11749,11847,7135,9055
12.5,3933,4628,6559,5704,6866,6295,5375,11750,11558,12052,12123,7320,9339
13,4034,4700,6697,5820,7003,6547,5488,12023,11851,12355,12398,7505,9601
13.5,4135,4773,6835,5935,7141,6798,5601,12296,12143,12658,12674,7691,9876
14,4236,4846,6973,6051,7278,7050,5713,12570,12436,12961,12949,7876,10145
14.5,4338,4918,7111,6167,7416,7302,5826,12843,12729,13264,13225,8062,10423
15,4439,4991,7249,6283,7553,7554,5939,13116,13022,13568,13500,8247,10682
15.5,5297,5907,8442,7466,9888,8586,6052,13389,13315,13871,13776,8433,10967
16,5415,5992,8599,7601,10064,8863,6165,13662,13607,14174,14051,8618,11235
16.5,5533,6077,8757,7736,10241,9140,6278,13936,13900,14477,14327,8803,11513
17,5651,6162,8915,7871,10418,9417,6391,14209,14193,14780,14602,8989,11781
17.5,5769,6246,9072,8007,10594,9694,6504,14482,14486,15083,14878,9174,12067
18,5887,6331,9230,8142,10771,9971,6617,14755,14778,15386,15153,9360,12337
18.5,6005,6416,9387,8277,10948,10248,6730,15029,15071,15690,15429,9545,12620
19,6123,6501,9545,8412,11124,10525,6842,15302,15364,15993,15704,9731,12891
19.5,6242,6585,9702,8547,11301,10802,6955,15575,15657,16296,15980,9916,13179
20,6360,6670,9860,8683,11478,11079,7068,15848,15950,16599,16255,10101,13437
21,465,389,560,504,599,524,364,794,867,926,887,507,671
45,419,355,486,433,570,486,359,841,835,787,845,488,670
71,388,328,445,402,525,565,341,770,812,785,794,475,663
